ID,dem_min,dem_max,dem_mean,dem_iqr,total_area_km2,pct_area_1,pct_area_2,area_km_1,area_km_2,cai_1,cai_2,pct_area_forest,area_km_forest,cai_forest,pct_area_shrubland,area_km_shrubland,cai_shrubland,pct_area_herbaceous,area_km_herbaceous,cai_herbaceous,pct_area_planted,area_km_planted,cai_planted,pct_area_wetlands,area_km_wetlands,cai_wetlands,precipitation,height_above,soil_moisture,longitude,latitude,maxwind_kph_day,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,dewpoint_c,uv,gust_kph,feelslike_c,windchill_c,heatindex_c,chance_of_rain,chance_of_snow,vis_km,year,month_sin,day_sin,hour_sin
2802,75.05006,113.713745,94.02391,16.608823776245117,9.1809,11.243995686697382,13.273208508969708,1.0323,1.2186,23.26685660018993,0.0,36.16312126262131,3.3201,39.47368421052632,5.146554259386335,0.4725,0.0,13.01833153612391,1.1952,0.0,3.1075384766199394,0.2853,0.0,14.312322321341044,1.314,0.0,0.0,0.0,0.1938655078411102,-79.6910667,34.9459833,12.2,11.2,0.6946583704589973,1026.0,0.0,91.0,9.0,0.0,17.8,8.9,8.9,10.4,0.0,0.0,10.0,2016,-0.8660254037844386,0.6513724827222223,-0.8660254037844385
6660,-0.067546256,9.529492,2.5428274,5.4000712633132935,9.1809,10.1558670718557,17.74335849426527,0.9324,1.629,6.375838926174497,0.0,13.851583178119792,1.2717,0.0,2.735025977845309,0.2511,0.0,0.1960592098813841,0.018,0.0,0.0,0.0,0.0,24.55641603764337,2.2545,7.894736842105263,55.03114318847656,0.173736,0.3518753051757812,-77.8390367,34.1854188,58.6,56.9,-0.4226182617407,990.0,8.3,87.0,23.0,0.0,113.7,28.0,25.3,28.0,100.0,0.0,5.0,2018,-1.0,0.29936312297335804,-0.8660254037844385
3597,11.146758,24.847448,19.206924,1.413374423980713,9.1809,27.860013724144693,50.21076365062249,2.5578,4.6098,30.544090056285174,0.0,0.4509361827271836,0.0414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.479756886579748,0.5949,0.0,9.567689442211549,0.8784,33.898305084745765,22.17929458618164,3.681984,0.5179975032806396,-95.54969,29.54723,39.6,37.8,0.4999999999999999,1005.0,7.25,92.0,21.5,0.0,59.3,25.1,22.8,25.1,100.0,0.0,5.0,2017,-0.8660254037844385,-0.3943558551133187,-0.9659258262890683
3546,107.713455,159.80664,121.656044,12.458797454833984,9.1809,7.214978923634938,0.6371924321144986,0.6624,0.0585,17.93400286944046,0.0,16.12587001274385,1.4805,9.090909090909092,25.99745123027154,2.3868,0.0,0.0098029604940692,0.0009,0.0,41.309675522007645,3.7926,0.0,6.734633859425547,0.6183,19.29824561403509,29.761032104492188,0.0,0.4051271975040436,-97.60491,29.76617,33.1,28.4,0.2419218955996677,1010.0,0.0,83.0,19.2,0.0,42.3,24.6,22.2,24.6,0.0,0.0,10.0,2017,-0.8660254037844385,-0.3943558551133187,-0.9659258262890683
4001,47.3,71.38477,58.280823,3.4545469284057617,9.1809,18.60601901774336,21.67434565238702,1.7082,1.9899,26.81598062953995,0.0,4.323105577884521,0.3969,0.0,0.0,0.0,0.0,0.0196059209881384,0.0018,0.0,42.21154788746201,3.8754,34.72222222222222,7.303205568081561,0.6705,0.0,0.0,0.0,0.4433591067790985,-96.54441,29.69482,30.2,14.4,-0.4539904997395469,1009.0,0.0,81.0,19.3,0.0,31.6,24.9,22.7,24.9,0.0,0.0,10.0,2017,-0.8660254037844385,-0.20129852008866114,-0.9659258262890683
6106,23.908068,51.575554,41.459236,7.706962585449219,9.1809,23.399666699343204,23.41927262033134,2.1483,2.1501,0.0,37.83783783783784,10.51857661013626,0.9657,0.0,3.3918243309479466,0.3114,0.0,0.6862072345848447,0.063,0.0,8.391334182923243,0.7704,62.2093023255814,25.90922458582492,2.3787,18.181818181818183,0.0,0.8382,0.3212210237979889,-79.89471,34.70784,19.8,13.7,0.2588190451025207,1025.0,0.0,57.0,7.0,0.0,24.9,15.4,15.4,15.4,0.0,0.0,10.0,2018,-0.8660254037844386,-0.4853019625310808,-0.8660254037844386
7460,-1.0204601,5.577719,0.7587328,1.6492549981921911,9.1809,9.401039113812372,7.087540437212038,0.8631,0.6507,14.177489177489177,0.0,6.077835506322909,0.558,53.08641975308642,0.7744338790314674,0.0711,0.0,0.0686207234584844,0.0063,0.0,0.0294088814822076,0.0027,0.0,31.03617292422312,2.8494,14.285714285714286,0.0,1.118616,0.2958588004112243,-84.39228,29.98289,51.2,19.3,0.9396926207859084,1008.0,0.6,90.0,23.6,0.0,45.4,28.3,25.3,28.3,100.0,0.0,7.0,2018,-0.8660254037844386,0.8978045395707416,-0.9659258262890684
3736,27.096869,38.3652,34.967937,2.140483856201172,9.1809,3.9800019605920975,0.3725124987746299,0.3654,0.0342,2.2508038585209005,0.0,35.70238211940006,3.2778,30.17751479289941,2.6467993333986866,0.243,0.0,0.0392118419762768,0.0036,0.0,46.97578668757965,4.3128,58.11088295687885,7.979609842172336,0.7326,34.96932515337424,21.73662567138672,0.0,0.330948144197464,-96.58302,29.22751426,36.0,36.0,0.0523359562429438,1005.0,6.4,89.0,20.6,0.0,60.3,24.9,22.6,24.9,100.0,0.0,2.0,2017,-0.8660254037844385,-0.3943558551133187,-0.9659258262890683
3856,53.435448,81.27163,65.8299,7.516175270080566,9.1809,4.362317419860798,0.1960592098813841,0.4005,0.018,9.58904109589041,0.0,19.96863052641898,1.8333,0.0,0.0098029604940692,0.0009,0.0,0.1176355259288305,0.0108,0.0,68.61092049799039,6.2991,72.02702702702703,4.70542103715322,0.432,42.14876033057851,0.0,0.7498080000000001,0.4042966067790985,-96.82623,29.51016,27.0,10.8,-0.5591929034707473,1010.0,0.0,83.0,19.8,0.0,25.2,25.0,22.8,25.0,0.0,0.0,10.0,2017,-0.8660254037844385,-0.20129852008866114,-0.9659258262890683
7326,-0.86716014,16.268614,1.8752984,3.736049234867096,9.1809,16.76306244485835,15.74355455347515,1.539,1.4454,19.82585398526457,7.142857142857143,2.254680913635918,0.207,0.0,0.0294088814822076,0.0027,0.0,0.049014802470346,0.0045,0.0,0.0,0.0,0.0,32.99676502303696,3.0294,33.333333333333336,0.0,1.078992,0.2018977552652359,-84.66415,29.84704,69.0,29.2,0.8829475928589271,1007.0,1.9,86.0,23.9,0.0,60.7,29.9,26.4,29.9,100.0,0.0,10.0,2018,-0.8660254037844386,0.8978045395707416,-0.9659258262890683
